"insee_code";"name";"zip_code";"department_id"
"71398";"SAINT-CHRISTOPHE-EN-BRESSE";"71370";1
"21708";"VILLY-LE-MOUTIER";"21250";2
"42067";"COLOMBIER";"42220";3
"11132";"FABREZAN";"11200";4
"65123";"CAMPAN";"65710";5
"64445";"PAU";"64000";6
"72102";"COURCIVAL";"72110";7
"80136";"BRAY-SUR-SOMME";"80340";8
"59662";"WINNEZEELE";"59670";9
"49055";"CANTENAY-EPINARD";"49460";10
"23071";"CROZE";"23500";11
"36061";"CROZON-SUR-VAUVRE";"36140";12
"33394";"SAINT-EMILION";"33330";13
"24291";"MONTIGNAC";"24290";14
"14611";"SAINT-MANVIEU-BOCAGE";"14380";15
"89317";"PRUNOY";"89120";16
"77283";"MAY-EN-MULTIEN";"77145";17
"54099";"BRIEY";"54150";18
"71336";"OUROUX-SUR-SAONE";"71370";1
"21374";"MALIGNY";"21230";2
"07251";"SAINT-JOSEPH-DES-BANCS";"07530";19
"51184";"COURDEMANGES";"51300";20
"67263";"LEMBACH";"67510";21
"53197";"SAINT-AIGNAN-SUR-ROE";"53390";22
"53026";"BEAULIEU-SUR-OUDON";"53320";22
"38157";"ESTRABLIN";"38780";23
"49363";"VAUCHRETIEN";"49320";10
"74091";"LA COTE-D'ARBROZ";"74110";24
"14522";"PRETREVILLE";"14140";15
"14462";"NEUILLY-LA-FORET";"14230";15
"69030";"BRULLIOLES";"69690";25
"16295";"SAINT-AMANT-DE-BOIXE";"16330";26
"21063";"BENEUVRE";"21290";2
"23124";"MARSAC";"23210";11
"66086";"GLORIANES";"66320";27
"22027";"LE CAMBOUT";"22210";28
"01135";"CROZET";"01170";29
"39510";"SEPTMONCEL";"39310";30
"03286";"TOULON-SUR-ALLIER";"03400";31
"11005";"ALAIRAC";"11290";4
"42044";"LE CHAMBON-FEUGEROLLES";"42500";3
"32029";"BARRAN";"32350";32
"04046";"LE CHAFFAUT-SAINT-JURSON";"04510";33
"43001";"AGNAT";"43100";34
"64421";"OGEU-LES-BAINS";"64680";6
"65387";"SAINT-LANNE";"65700";5
"32245";"MAUMUSSON-LAGUIAN";"32400";32
"64387";"MOMAS";"64230";6
"31425";"LE PLAN";"31220";35
"15216";"SAINT-URCIZE";"15110";36
"36063";"DEOLS";"36130";12
"37218";"SAINT-FLOVIER";"37600";37
"36198";"SAINT-LACTENCIN";"36500";12
"51625";"VILLENEUVE-LA-LIONNE";"51310";20
"55358";"CHANTERAINE";"55500";38
"57414";"LORQUIN";"57790";39
"67448";"SCHIRMECK";"67130";21
"27016";"LES ANDELYS";"27700";40
"08420";"SIGNY-LE-PETIT";"08380";41
"02246";"CUGNY";"02480";42
"59234";"FLERS-EN-ESCREBIEUX";"59128";9
"59632";"WALLERS";"59135";9
"72149";"JOUE-EN-CHARNIE";"72540";7
"72283";"SAINT-GERMAIN-D'ARCE";"72500";7
"50604";"TREAUVILLE";"50340";43
"71571";"VEROSVRES";"71220";1
"86210";"ROIFFE";"86120";44
"21208";"COURTIVRON";"21120";2
"21338";"LAMARGELLE";"21440";2
"46144";"LACAVE";"46200";45
"57215";"FLASTROFF";"57320";39
"25619";"LES VILLEDIEU";"25240";46
"89072";"CHAMPCEVRAIS";"89220";16
"68365";"WETTOLSHEIM";"68920";47
"67329";"NIEDERNAI";"67210";21
"01163";"FOISSIAT";"01340";29
"84112";"SAINT-MARTIN-DE-CASTILLON";"84750";48
"50431";"REMILLY-SUR-LOZON";"50570";43
"12040";"BUZEINS";"12150";49
"18090";"ETRECHY";"18800";50
"18035";"BRECY";"18220";50
"71354";"POISSON";"71600";1
"17184";"LA GRIPPERIE-SAINT-SYMPHORIEN";"17620";51
"26264";"REMUZAT";"26510";52
"72232";"NOTRE-DAME-DU-PE";"72300";7
"32032";"BASSOUES";"32320";32
"31521";"SALEICH";"31260";35
"33361";"RUCH";"33350";13
"24292";"MONTPEYROUX";"24610";14
"24456";"SAINT-MARTIN-DES-COMBES";"24140";14
"89470";"VILLIERS-LES-HAUTS";"89160";16
"38370";"SAINT-BONNET-DE-CHAVAGNE";"38840";23
"10196";"LIGNIERES";"10130";53
"44212";"VALLET";"44330";54
"18290";"VOUZERON";"18330";50
"87137";"SAINT-BAZILE";"87150";55
"87046";"COGNAC-LA-FORET";"87310";55
"16071";"CHABRAC";"16150";26
"70455";"ROYE";"70200";56
"64546";"URT";"64240";6
"14403";"MAROLLES";"14100";15
"62461";"HUBY-SAINT-LEU";"62140";57
"17197";"JONZAC";"17500";51
"53006";"ARGENTON-NOTRE-DAME";"53290";22
"88270";"LIFFOL-LE-GRAND";"88350";58
"31454";"RIEUMES";"31370";35
"39049";"BERSAILLIN";"39800";30
"52162";"DAMMARTIN-SUR-MEUSE";"52140";59
"28282";"NONVILLIERS-GRANDHOUX";"28120";60
"22196";"PLEUDANIEL";"22740";28
"26143";"LE GRAND-SERRE";"26530";52
"61040";"BELLOU-EN-HOULME";"61220";61
"91315";"ITTEVILLE";"91760";62
"50591";"LE TEILLEUL";"50640";43
"66193";"SERDINYA";"66360";27
"64124";"BIDARRAY";"64780";6
"14346";"JUAYE-MONDAYE";"14250";15
"81108";"ITZAC";"81170";63
"86281";"VENDEUVRE-DU-POITOU";"86380";44
"36053";"CIRON";"36300";12
"77373";"PONTAULT-COMBAULT";"77340";17
"02049";"BARISIS";"02700";42
"76472";"NOTRE-DAME-D'ALIERMONT";"76510";64
"50216";"GRAIGNES-MESNIL-ANGOT";"50620";43
"50394";"PERIERS";"50190";43
"80416";"HANGEST-SUR-SOMME";"80310";8
"76344";"HAUDRICOURT";"76390";64
"08381";"SAINT-GERMAINMONT";"08190";41
"55351";"MONTMEDY";"55600";38
"57588";"RODEMACK";"57570";39
"62818";"TILLY-CAPELLE";"62134";57
"62788";"SENINGHEM";"62380";57
"04156";"PUIMICHEL";"04700";33
"49269";"SAINT-CHRISTOPHE-DU-BOIS";"49280";10
"71142";"LA COMELLE";"71990";1
"71291";"MELAY";"71340";1
"22208";"PLOUASNE";"22830";28
"09100";"COUFLENS";"09140";65
"09005";"ALEU";"09320";65
"70063";"BELONCHAMP";"70270";56
"40233";"POUILLON";"40350";66
"45085";"CHATILLON-COLIGNY";"45230";67
"11315";"RIEUX-MINERVOIS";"11160";4
"23063";"CLAIRAVAUX";"23500";11
"03168";"MEAULNE";"03360";31
"70247";"FOUVENT-SAINT-ANDOCHE";"70600";56
"31385";"MONTMAURIN";"31350";35
"24386";"SAINT-CERNIN-DE-L'HERM";"24550";14
"58238";"SAINT-ELOI";"58000";68
"71401";"SAINTE-CROIX";"71470";1
"24117";"CHAVAGNAC";"24120";14
"47210";"PORT-SAINTE-MARIE";"47130";69
"89464";"VILLENEUVE-SUR-YONNE";"89500";16
"24486";"SAINT-PIERRE-DE-FRUGIE";"24450";14
"24158";"DUSSAC";"24270";14
"84062";"LAGNES";"84800";48
"46128";"GRAMAT";"46500";45
"60350";"LASSIGNY";"60310";70
"56221";"SAINT-JACUT-LES-PINS";"56220";71
"05024";"BRUIS";"05150";72
"89439";"VERGIGNY";"89600";16
"17225";"LES MATHES";"17570";51
"49092";"CHEMILLE";"49120";10
"73268";"SAINT-PAUL-SUR-ISERE";"73730";73
"71088";"LA CHAPELLE-AU-MANS";"71130";1
"58290";"THAIX";"58250";68
"39434";"POLIGNY";"39800";30
"29226";"POULLAN-SUR-MER";"29100";74
"2B112";"FELICETO";"20225";75
"69286";"RILLIEUX-LA-PAPE";"69140";25
"53245";"SAINT-PIERRE-DES-LANDES";"53500";22
"32386";"SAINT-LIZIER-DU-PLANTE";"32220";32
"56142";"MOUSTOIR-REMUNGOL";"56500";71
"64105";"BEGUIOS";"64120";6
"11252";"MONTMAUR";"11320";4
"81001";"AGUTS";"81470";63
"84105";"SAIGNON";"84400";48
"30210";"QUISSAC";"30260";76
"07004";"AJOUX";"07000";19
